Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010043.logjez,03018,0001,1333,0043,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,E1F5CD76
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010044.logjez,03018,0001,3050,0044,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,643B38EA
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010045.logjez,03018,0001,3050,0045,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,69908248
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010046.logjez,03018,0001,1376,0046,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,9D4D7F6D
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010047.logjez,03018,0001,1376,0047,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,69D094D5
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010048.logjez,03018,0001,1392,0048,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,B54171B7
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010049.logjez,03018,0001,1392,0049,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,36DD14D7
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010050.logjez,03018,0001,1392,0050,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,2526D15D
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010052.logjez,03018,0001,1503,0052,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,7E559ABA
bu_imgbu_logjez_rdv_vscmr_2022_2t_RR,o00407-0301800010053.logjez,03018,0001,1481,0053,8.26.0.0 - Onça-pintada,2º turno,UE2020,Oficial,204EEA43
